9,BTC_MKR,1 min,2021-07-11 23:28:02.081388,0.07760343,0.07760343,0.07760343,0.07760343
10,BTC_SWINGBY,1 min,2021-07-11 23:26:22.506574,0.00000247,0.00000247,0.00000247,0.00000247
11,BTC_SENSO,1 min,2021-07-11 23:27:18.920064,0.00002601,0.00002601,0.00002602,0.00002602
12,BTC_QTUM,1 min,2021-07-11 23:27:48.424570,0.00019960,0.00019960,0.00019960,0.00019960
13,BTC_LINK,1 min,2021-07-11 23:28:02.678766,0.00053914,0.00053908,0.00053932,0.00053932
14,BTC_REN,1 min,2021-07-11 23:27:39.316715,0.00001074,0.00001074,0.00001074,0.00001074
15,BTC_SXP,1 min,2021-07-11 23:27:26.717784,0.00005700,0.00005700,0.00005700,0.00005700
16,BTC_ETH,1 min,2021-07-11 23:28:01.995406,0.06280232,0.06280232,0.06280232,0.06280232
17,BTC_ARDR,1 min,2021-07-11 23:26:09.362977,0.00000483,0.00000483,0.00000483,0.00000483
18,BTC_AVA,1 min,2021-07-11 23:27:48.445187,0.00006424,0.00006424,0.00006424,0.00006424
19,BTC_INJ,1 min,2021-07-11 23:26:31.712995,0.00020492,0.00020492,0.00020492,0.00020492
20,BTC_LTC,1 min,2021-07-11 23:28:01.990874,0.00395575,0.00395422,0.00395820,0.00395589
21,BTC_ETC,1 min,2021-07-11 23:28:02.619567,0.00144434,0.00144434,0.00144434,0.00144434
22,BTC_DASH,1 min,2021-07-11 23:26:11.723646,0.00378924,0.00378924,0.00378924,0.00378924
23,BTC_DOGE,1 min,2021-07-11 23:27:28.512662,0.00000631,0.00000631,0.00000632,0.00000632
24,BTC_XRP,1 min,2021-07-11 23:27:17.663548,0.00001874,0.00001874,0.00001874,0.00001874
25,BTC_LSK,1 min,2021-07-11 23:26:11.763254,0.00007601,0.00007601,0.00007601,0.00007601
26,BTC_TRX,1 min,2021-07-11 23:26:12.442450,0.00000183,0.00000183,0.00000183,0.00000183
27,BTC_ZEC,1 min,2021-07-11 23:27:58.447678,0.00325149,0.00325149,0.00325149,0.00325149
28,BTC_AAVE,1 min,2021-07-11 23:28:02.100311,0.00894853,0.00894203,0.00894853,0.00894853
29,BTC_KLV,1 min,2021-07-11 23:27:37.491500,0.00000143,0.00000143,0.00000145,0.00000145
30,BTC_WRX,1 min,2021-07-11 23:27:57.824393,0.00003251,0.00003251,0.00003251,0.00003251
31,BTC_OMG,1 min,2021-07-11 23:27:39.272348,0.00012278,0.00012278,0.00012278,0.00012278
32,BTC_WBTC,1 min,2021-07-11 23:28:00.207130,0.99793994,0.99793994,0.99793994,0.99793994
33,BTC_SAND,1 min,2021-07-11 23:28:02.697950,0.00001350,0.00001350,0.00001350,0.00001350
34,BTC_FIL,1 min,2021-07-11 23:27:56.147649,0.00160627,0.00160627,0.00160627,0.00160627
35,BTC_FRONT,1 min,2021-07-11 23:28:02.699535,0.00002323,0.00002323,0.00002323,0.00002323
36,BTC_NEO,1 min,2021-07-11 23:27:59.658407,0.00100798,0.00100798,0.00100798,0.00100798
37,BTC_POLY,1 min,2021-07-11 23:27:52.530013,0.00000559,0.00000559,0.00000559,0.00000559
38,BTC_KNC,1 min,2021-07-11 23:26:30.392339,0.00004424,0.00004424,0.00004424,0.00004424
39,BTC_SWAP,1 min,2021-07-11 23:27:54.335997,0.00002401,0.00002401,0.00002401,0.00002401
40,BTC_MANA,1 min,2021-07-11 23:27:54.939704,0.00002103,0.00002103,0.00002103,0.00002103
41,BTC_CHR,1 min,2021-07-11 23:27:50.249426,0.00000513,0.00000513,0.00000513,0.00000513
42,BTC_BAT,1 min,2021-07-11 23:27:02.935407,0.00001653,0.00001653,0.00001653,0.00001653
43,BTC_BCHSV,1 min,2021-07-11 23:27:03.090576,0.00412184,0.00412184,0.00412184,0.00412184
44,BTC_XEM,1 min,2021-07-11 23:27:10.492627,0.00000357,0.00000357,0.00000357,0.00000357
45,BTC_NMR,1 min,2021-07-11 23:27:33.331603,0.00092364,0.00092364,0.00092364,0.00092364
